obra_id|obra_url|obra_title|obra_date|obra_medium|obra_format|referente_id|referente_url|referente_title|referente_date|referente_publisher
1693|https://bga.uniandes.edu.co/catalogo/api/items/1693|Cada uno con su ofrenda |2010|45x45.5 cm|Óleo sobre tela |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1694|https://bga.uniandes.edu.co/catalogo/api/items/1694|Cada uno con su ofrenda II |2010|27x23 cm|Óleo sobre tela |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1696|https://bga.uniandes.edu.co/catalogo/api/items/1696|Cada uno con su ofrenda-silueta|2010|N/A|N/A|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1700|https://bga.uniandes.edu.co/catalogo/api/items/1700|Ceremonia de la caja II|2010|27.5x23.5 cm|Óleo sobre tela., |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1699|https://bga.uniandes.edu.co/catalogo/api/items/1699|Ceremonia de la caja |2010|100x180 cm|Óleo sobre tela |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1698|https://bga.uniandes.edu.co/catalogo/api/items/1698|Ceremonia de la caja proceso|2010|N/A|Grafito sobre papel-grafito sobre tela|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1697|https://bga.uniandes.edu.co/catalogo/api/items/1697|Boceto Ceremonia de la caja/ Sin título|2010|31x45 cm|Lápiz sobre papel|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1709|https://bga.uniandes.edu.co/catalogo/api/items/1709|Serie ensayo Sinfín|2010|50x4000 cm|Serigrafía sobre tela|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1701|https://bga.uniandes.edu.co/catalogo/api/items/1701|Ensayo Sinfín|2010|50 x 200 cm|Óleo sobre papel enterado|2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
1711|https://bga.uniandes.edu.co/catalogo/api/items/1711|Prueba Sinfín|2010|23x106 cm|Serigrafía sobre lona, |2125|https://bga.uniandes.edu.co/catalogo/api/items/2125|Recortes de periódico para la serie Sinfin|2007-2011|Periódico EL TIEMPO
